4to 05096820-a:0
anchusa_officinalis 12817694-n:0
ancient_history 05612531-n:0
and_so_forth 00103664-r:4
and_so_on 00103664-r:9
anemone_pulsatilla 11738203-n:0
angiogram 02711573-n:0
angiosarcoma 14240262-n:0
angler 02548247-n:0
angler_fish 02548247-n:0
anglerfish 02548247-n:0
angling 00454237-n:0
angrecum 12044784-n:0
angst 07526002-n:2
angular_velocity 11469265-n:0
animal 00015388-n:67
animate_being 00015388-n:0
anisette 07908647-n:0
anisette_de_bordeaux 07908647-n:0
annex 01329141-v:0
annotation 06763273-n:0
annually 00250570-r:0
anpu 09511712-n:0
ant_lion 02264021-n:0
ante 01139380-v:0
antecedent 09792555-n:1
anther 11675245-n:0
anthericum_liliago 12439626-n:0
anthill 09199101-n:1
anthurium_andraeanum 11784126-n:0
anthurium_scherzerianum 11784126-n:0
antibody 15027189-n:17
antiferromagnetism 11479640-n:0
antique 01639446-a:2
antlion 02264021-n:0
antlion_fly 02264021-n:0
anubis 09511712-n:0
anxiety 14374432-n:20 07523905-n:9
anxiousness 14374432-n:0
apace 00085811-r:0
apart 00181075-r:18 00234201-r:0
apartment 02726305-n:32
apc 02740300-n:0
aperture 02727016-n:0
aphakia 14097432-n:0
aphesis 13433283-n:0
aporocactus_flagelliformis 11843441-n:0
apparel 00047945-v:0
appearance 00755277-n:0
appellant 03044083-a:0
appellate 03044083-a:0
appetiser 07581346-n:0
appetizer 07581346-n:0
apple_nut 12594533-n:0
apple_sauce 07825850-n:0
applesauce 07825850-n:0
apply 01158872-v:45 01363648-v:11
appoggiatura 06871983-n:0
appoint 02396205-v:13
appose 01500214-v:0
approach 00573268-n:0 00990392-v:6
approach_shot 00573268-n:0
approach_trench 02730748-n:0
apricot 12640607-n:0
apricot_tree 12640607-n:0
apron 02730930-n:3
apse 02731398-n:0
apsis 02731398-n:0
apt 01411919-a:0
aquavit 07902799-n:0
ar 14628920-n:0
arabian_tea 03608870-n:0
arc 02034986-v:0
arch 02733524-n:0 02034986-v:3
archaeopteryx 01516212-n:0
archaeopteryx_lithographica 01516212-n:0
archdeacon 09804343-n:0
archeopteryx 01516212-n:0
architect 09805475-n:9
archive 01384638-v:0
ardor 07555402-n:3
ardour 07555402-n:0
area 08497294-n:146
area_code 06354626-n:0
arecaceae 12581381-n:0
arethusa_bulbosa 12046028-n:0
argon 14628920-n:7
argyranthemum_frutescens 11925898-n:0
aril 13090871-n:0
ariled 01694892-a:0
arillate 01694892-a:0
ariocarpus_fissuratus 11843896-n:0
aristotelia_racemosa 12193665-n:0
aristotelia_serrata 12193665-n:0
arm 05563770-n:104 04565375-n:1 04236377-n:0
armhole 02738978-n:0
armillariella_mellea 13232779-n:0
armored_car 02739889-n:0
armored_personnel_carrier 02740300-n:0
armoured_car 02739889-n:0
armoured_personnel_carrier 02740300-n:0
army_corps 08212527-n:0
arnica 11926833-n:0
arouse 01759326-v:14 01629958-v:2
arrange 01463963-v:13
arranged 01571869-a:0
arrangement 05075602-n:2
array 01474209-v:1
arrive_at 02020590-v:20
arrowroot_family 12351287-n:0
art_paper 14768854-n:0
artefact 00021939-n:0
artemisia_absinthium 11929477-n:0
artesian_well 02744634-n:0
article_of_clothing 03051540-n:0
articulatio_radiocarpea 05584928-n:0
articulation 13911151-n:0
artifact 00021939-n:1
artificer 10214637-n:0
artificial_joint 02745816-n:0
artificial_language 06894544-n:0
arytaenoid 05530092-n:0
arytenoid 05530092-n:0
arytenoid_cartilage 05530092-n:0
ascendant 09792555-n:0
ascendent 09792555-n:0
ascertain 00920336-v:0
ash 12303921-n:0
aside 00234201-r:0
ask 00784727-v:16 02627934-v:0
aspalathus_cedcarbergensis 12507823-n:0
aspalathus_linearis 12507823-n:0
asperger's_syndrome 14084291-n:0
aspiration 00836788-n:0
aspirator 02748491-n:0
aspirin 02748618-n:1
assemble 01656788-v:15
assist 02547586-v:21
associate 07284848-n:0
aster_shortii 11935187-n:0
asthma 14145911-n:0
asthma_attack 14145911-n:0
astigmatism 14553590-n:0
astigmia 14553590-n:0
asyndeton 07099135-n:0
asynergia 14024391-n:0
asynergy 14024391-n:0
asystole 14024581-n:0
athlete's_heart 05389182-n:0
atlantic_salmon 07796005-n:0
atmosphere 08499057-n:7
atomic_number_1 14640434-n:0
atomic_number_10 14646152-n:0
atomic_number_15 14649197-n:0
atomic_number_18 14628920-n:0
atomic_number_26 14642417-n:0
atomic_number_29 14635722-n:0
atomic_number_31 14638256-n:0
atomic_number_36 14642916-n:0
atomic_number_54 14661274-n:0
atomic_number_57 14643118-n:0
atomic_number_7 14647235-n:0
atomic_number_71 14644063-n:0
atomic_number_8 14648100-n:0
atomic_number_83 14631502-n:0
atomic_number_9 14637507-n:0
atomic_number_94 14649775-n:0
attach 01296462-v:22 01290255-v:4 01290422-v:3 02538086-v:0
attach_to 02705535-v:0
attachable 00161431-a:0
attachment 02755352-n:0 00147595-n:0
attain 02020590-v:0
attic_fan 02755984-n:0
attitude 00755863-n:1
attributive 00172562-a:0
aubergine 12896000-n:0
audience 08221897-n:60 07143624-n:0
audiovisual 02648392-a:0
auger 02758490-n:0
augmentation 07030376-n:0
auricle 05323889-n:0
auricula 12091806-n:0
auscultation 00876542-n:0
auto 02958343-n:2
auto_race 07458892-n:0
autocratic 00787595-a:0
autoimmune 02649399-a:0
automation 00102457-n:2
automobile 02958343-n:15
automobile_battery 02961225-n:0
automobile_horn 02761834-n:0
automobile_race 07458892-n:0
autophytic 02652590-a:0
autotrophic 02652590-a:0
auxiliary_cell 08359581-n:0
avens 12631331-n:0
average 00486290-a:6
avoidance 00203753-n:4
award 13268146-n:5
awl 02763714-n:0
awl-shaped 02144913-a:0
axial 02655015-a:0
axile 02655015-a:0
axolotl 01632777-n:0
ayapana 11937692-n:0
ayapana_triplinervis 11937692-n:0
azotaemia 14210971-n:0
azotemia 14210971-n:0
azotemic 02656218-a:0
baa 07376168-n:0
baby_minder 09829122-n:0
babyminder 09829122-n:0
bachelor_party 08255660-n:0
bacillaceae 01356459-n:0
bacitracin 02767240-n:0
back 04059701-n:12 02767665-n:0 00074407-r:36 01139104-v:0
back-formation 06288350-n:0
back_room 02770293-n:0
back_up 01694620-v:0
backboard 02768226-n:0
backed 00200026-a:0
backfire 07408621-n:0 07303153-n:0
backhoe 02769290-n:0
backlog 00159236-v:0
backroom_boy 09830759-n:0
backspin 07442439-n:0
backstitch 02771383-n:0
backup_system 02772101-n:0
backward 00074407-r:4
backwards 00074407-r:1
bacon 07670433-n:4
bacteria_bed 02772282-n:0
bacteroidaceae 01364587-n:0
bad_block 13626789-n:0
bad_hat 10731244-n:1
bag 13754778-n:2 01485839-v:0
bagatelle 00501479-n:0
bagger 02775359-n:0
bagpipe 02775483-n:1
bail 05903445-n:0
bain-marie 02776007-n:0
bake 00319886-v:6
bakelite 14596216-n:0
baku 09018426-n:0
balkline 08516260-n:0
ball 02778669-n:35 13899404-n:3
ball_and_chain 02779609-n:0
ballistic_fingerprinting 06423994-n:0
ballistic_identification 06423994-n:0
ballistocardiogram 07003672-n:0
balloon 02782093-n:3
balm 03845550-n:0
balsa 12191813-n:0
balsa_wood 12191813-n:0
bamboo 12147539-n:0
banana 12352287-n:1
banana_tree 12352287-n:0
band 02784732-n:2 02785191-n:0 02784998-n:0 01297401-v:0
banding 02784732-n:0
bandit 09837088-n:3
bank 04139859-n:0 02310855-v:0
banking_game 00509566-n:0
bar 02788689-n:4 02789271-n:1 01478002-v:5
bar_billiards 00501479-n:0
barbecue 02790669-n:0
barbecue_pit 09214269-n:0
barbecue_sauce 07835331-n:0
barbed_wire 02790823-n:4
barbeque 02790669-n:0
barbershop_quartet 08247400-n:0
barbwire 02790823-n:0
bard 01670315-v:0
barde 01670315-v:0
bargain 06771159-n:3
barium_enema 00696300-n:0
bark 07376621-n:0 01047745-v:0
bark_beetle 02180233-n:0
barnacle 01998183-n:0
barrel 02795169-n:5 13764764-n:0 01502540-v:0
barrel-shaped 02041711-a:0
barrel_cactus 11847169-n:0
barrel_maker 09963773-n:0
barrel_organ 02795978-n:0
barreled 00206205-a:0
barrelful 13764764-n:0
barrelled 00206205-a:0
barrels 13774311-n:0
barrenness 14045347-n:0
barricade 02796412-n:1 01478002-v:1
basifixed 00158961-a:0
basket 02801938-n:6
basket_maker 09842395-n:0
basketball_backboard 02768226-n:0
basketry 00607293-n:0
bass_clef 06862954-n:0
bass_drum 02803666-n:0
bassinet 02804414-n:1
basswood 12203331-n:0
baster 09843048-n:0
bath 02807731-n:0
bath_chair 02806762-n:0
bathing_costume 04371563-n:0
bathing_suit 04371563-n:2
bathroom 02807731-n:6
battalion 08214083-n:2
batter 00546609-v:0
batting_cage 02811059-n:0
battle_group 08213671-n:0
baulk-line 08516260-n:0
bawl 01046480-v:0
bay 02696048-n:0
bayer 02748618-n:0
beach 09217230-n:14
beacon 07264213-n:1
beacon_fire 07264213-n:0
bead 02815071-n:1 01670511-v:0 01360091-v:0
beading 02815389-n:0
beadlike 00280245-a:0
beads 02815600-n:0
beadwork 02815389-n:0
beady 00280245-a:1 00056660-a:0
beaker 02815749-n:0
beam 02815950-n:9
bean_counter 09845016-n:0
beanball 00107551-n:0
beaner 00107551-n:0
bear 01652139-v:6 02700867-v:4
bear's_ear 12091806-n:0
bear_oak 12272735-n:0
bearing 02817031-n:0
beast 00015388-n:4
beastliness 04845684-n:0
beat 01756006-v:0
beat_around_the_bush 00835506-v:0
beau_geste 01228544-n:0
beautify 01675963-v:0
beaver 03237416-n:0
becket_bend 04189092-n:0
bed 03650173-n:0 01567653-v:0 01500082-v:0
bed-wetting 13438088-n:0
beech 12261179-n:0
beechwood 12261179-n:0
beef_up 00220869-v:1
beefsteak 07658168-n:0
beefsteak_geranium 12361946-n:0
beefwood 12225769-n:0
beer_barrel 02823335-n:0
beer_garden 02823586-n:0
beer_hall 02823848-n:0
beer_keg 02823335-n:0
beer_mat 02823964-n:0
beet 11832214-n:0
beetle 02164464-n:1 03715386-n:0
beget 00054628-v:2
begonia 12360108-n:0
begonia_rex 12361946-n:0
beguiler 09910374-n:0
belaying_pin 02824152-n:0
belfry 02946127-n:1
belief 05916739-n:6
bell 02824858-n:0 01297274-v:0
bell_morel 13032923-n:0
bell_pepper 12901264-n:0
bell_ringing 00544441-n:0
bellow 01048718-v:0
belly_button 05556595-n:0
bellybutton 05556595-n:0
belt 02827606-n:4 02828115-n:0
belt_ammunition 02828115-n:0
belt_bag 04544450-n:0
belted_ammunition 02828115-n:0
beluga_caviar 07799738-n:0
bench 02828884-n:9
bench_vise 04538552-n:0
bendy_tree 12188635-n:0
bentwood 02830430-n:0
benzene_formula 14774894-n:0
benzene_nucleus 14774894-n:0
benzene_ring 14774894-n:0
berg 09308572-n:1
berm 04206948-n:0
berry 07742704-n:3
berth 02831724-n:0
bestiary 06412610-n:0
bet_on 01139104-v:4
beta_vulgaris 11832214-n:0
bewitch 00776988-v:0
bharat 08900535-n:0
bi 14631502-n:0
bibliophile 09852679-n:0
bicycle_pump 02835724-n:0
bicylindrical 02709036-a:0
bidirectional 00233442-a:0
biennial 11552976-n:0
biff 01416020-v:0
big 01382086-a:107
big-eyed_scad 02581108-n:0
big_band 08250168-n:1
big_dipper 04102406-n:0
bigeye_scad 02581108-n:0
bigoted 02436794-a:0
bilge_keel 02838178-n:0
bill 07250339-n:0
billion 13776432-n:0
bimetallism 13373746-n:0
bin 02839910-n:2
bind 02538086-v:4 01285440-v:0
binnacle 02841187-n:0
biofeedback 05910070-n:0
biohazard_suit 02841847-n:0
biomedical_cloning 00639007-n:0
biosafety_level_1 14428655-n:0
birch 12281600-n:0
bird 07123870-n:0
bird-on-the-wing 12705698-n:0
bird_feed 07805594-n:0
bird_food 07805594-n:0
birdbath 02843158-n:1
birdseed 07805594-n:0
bismuth 14631502-n:0
bit 02844307-n:0
bitch 09982873-n:0
bite 01441382-v:1 01445407-v:0
bitt 02864593-n:0
bitter 07889814-n:0
bitter_aloes 02698366-n:0
bitter_cress 11881742-n:0
bittercress 11881742-n:0
bittersweet_chocolate 07603722-n:0
black 01706341-a:0
black_bean 07727458-n:0
black_flag 02847009-n:1
black_locust 12568506-n:0
black_morel 13033577-n:0
black_music 07025604-n:0
blackberry 12653762-n:0
blackberry_bush 12653762-n:0
blackface 02846874-n:0
blackhead 05245775-n:0
blackjack 02847009-n:0
blacklist 02473143-v:0
blacktop 14976871-n:0
blacktopping 14976871-n:0
blackwall_hitch 02847728-n:0
blackwood 12524395-n:0
bladder 05512139-n:0 02848118-n:0
blade 02848523-n:0 02848216-n:0
blade_bit 03353147-n:0
blame 00842538-v:12
blancmange 07610746-n:0
blank_space 06389553-n:0
blank_verse 06378524-n:0
blanket 02849154-n:19
blanket_stitch 02849565-n:0
blast 01759021-v:0
blast_furnace 02849885-n:0
bleeder's_disease 14170337-n:0
blenny 02613181-n:0
blini 07640844-n:0
blinker 01337819-v:0
bliny 07640844-n:0
blob 01531998-v:0
block 02852523-n:29 08642145-n:6 05645199-n:0 04020298-n:0 02853449-n:0 01478002-v:7 01476483-v:0
block_off 01478002-v:0
block_plane 02854532-n:0
block_up 01478002-v:0
blockade 01478002-v:0
blockage 02853449-n:0
blond 00243606-a:2
blonde 00243606-a:1
blood_blister 14312889-n:0
blood_brother 09860653-n:0
blood_group 05400601-n:0
blood_heat 05014879-n:0
blood_type 05400601-n:0
bloom 11669335-n:2
blossom 11669335-n:6
blot 04694441-n:7 01531998-v:0
blow 01173038-n:25 02101046-v:0
blow_drier 03483316-n:0
blow_dryer 03483316-n:0
blow_fly 02191773-n:0
blow_tube 02855560-n:0
blowfish 02655020-n:0
blowfly 02191773-n:0
blowhole 04526241-n:0
blowlamp 02855390-n:0
blowpipe 02855560-n:0
blowtorch 02855390-n:0
blowtube 02855560-n:0
blue_african_lily 12429352-n:0
blue_baby 09861166-n:0
blue_point 07786484-n:0
bluebottle 02191979-n:0
bluejacket 09861395-n:0
bluepoint 07786484-n:0
blueprint 05902327-n:0 01683582-v:0
blueprint_paper 14782150-n:0
bluff 09224725-n:5
blur 01251928-v:0
blusher 13003522-n:0
blushing_mushroom 13003522-n:0
board 15101854-n:18 02856463-n:4 03033986-n:0 02857023-n:0
boardwalk 02858179-n:0
bob 02860063-n:0 00899352-v:0
bobber 02860063-n:0
bobfloat 02860063-n:0
bodkin 02861777-n:0 02861658-n:0
body_stocking 02863014-n:0
body_suit 03657511-n:0
body_temperature 05014879-n:0
bodywork 00713493-n:0
bog_rose 12046028-n:0
bohemia 08241309-n:0
boiled_dinner 07862946-n:0
boiler 03612814-n:0
bola 02864342-n:0
bolbitis 13202933-n:0
bole 13165815-n:0
boletus_subvelutipes 13057242-n:0
bollard 02864593-n:0
bolster 02865509-n:1
bolt 02865665-n:0 02073714-v:0
bombacaceae 12188985-n:0
bonbon 07599649-n:0
bond 13417410-n:13 02755352-n:1 02538086-v:0
bond-trading_activity 00079603-n:0
bond_certificate 13417410-n:0
bond_trading 00079603-n:0
bonduc_nut 11689197-n:0
bone 14757848-n:3
bone-ash_cup 02868975-n:0
bones 02869249-n:0
boniness 05001867-n:0
bonyness 05001867-n:0
boo 07123870-n:0
boodle 00493308-n:0
book_jacket 07248320-n:1
book_lover 09852679-n:0
book_of_instructions 06422144-n:0
book_review 06410655-n:0
bookend 02871005-n:0
booklet 06413889-n:0
booklover 09852679-n:0
bookmark 02871147-n:0
bookmarker 02871147-n:0
boomerang 02871963-n:0
boot 02872752-n:13
boot_out 01468576-v:0
bootlegger 09866922-n:2
bootlegging 00092663-n:1
border_collie 02106166-n:0
borderline_intelligence 13822364-n:0
bore 05103283-n:0 02875233-n:0 01443021-v:4
bore-hole 02875233-n:0
bore_bit 02875436-n:0
borer 02875436-n:0 01923025-n:0
boring 00942799-n:0 00923130-n:0
bornholm_disease 14330340-n:0
borsch 07584423-n:0
borscht 07584423-n:0
borsh 07584423-n:0
borshch 07584423-n:0
borsht 07584423-n:0
bortsch 07584423-n:0
bosin's_disease 14344189-n:0
bosom 02876084-n:1 01424456-v:0
bossy 00787595-a:0
botanical 02876537-n:0
botany 06066555-n:0
botonee 00296783-a:0
botonnee 00296783-a:0
bottle 01502279-v:0
bottle_cork 03108853-n:0
bottled_gas 14878483-n:0
bottled_water 07935737-n:0
bottleneck 02557902-v:0
bottling_plant 02878107-n:0
bound 00233335-v:2
bouquet 02879087-n:3
bourbon 09869706-n:7 07906718-n:1
boutonniere 02879422-n:0
bow 02879517-n:2 02879718-n:1 00547765-n:0
bowl 02882301-n:0
bowl_over 01909978-v:0
bowling_ball 02882301-n:0
box 02883344-n:25 00135148-n:0 01485158-v:1
box_pleat 02886035-n:0
boxing_match 07465960-n:0
boxwood 12746474-n:0
brace_and_bit 02887832-n:0
bracelet 04556204-n:0
brachychiton 12195965-n:0
bracket 00800586-v:0
bracket_out 00800586-v:0
brad 02888817-n:1
bradawl 02888898-n:0
braid 01674717-v:1
brain_truster 09830759-n:0
brake 08437721-n:0
brake_drum 02890351-n:0
branch 13913849-n:5
branched_chain 09228492-n:0
branchiobdella 01935997-n:0
branchlet 13163991-n:0
brand 06795543-n:2
brass 02891788-n:2
brass_instrument 02891788-n:0
brassavola 12047345-n:0
brasserie 02892499-n:0
brassica_oleracea_capitata 11875938-n:0
braun 10863124-n:0
brazilwood 12489524-n:0
breach 01593614-v:1
bread 07679356-n:3
breadstuff 07679356-n:0
break 00334996-v:8 02570684-v:3 02030764-v:1
break_bread 01172545-v:0
break_dance 00526412-n:0
break_dancing 00526412-n:0
break_in 02570684-v:2
break_open 00309310-v:0
breakfast 07574602-n:12
breakfast_area 02894158-n:0
breakfast_food 07702642-n:0
breakfast_nook 02894158-n:0
breakup 07331400-n:1
bream 02563182-n:0
breast_drill 02894847-n:0
breast_of_veal 07665983-n:0
breath 00835032-n:15 14841770-n:14
breathe 02751787-v:0
breathing 00831191-n:5 00267452-a:1
breathing_in 00836788-n:0
breathing_out 00835267-n:0
breech 02895881-n:0
breechcloth 02896294-n:0
breechclout 02896294-n:0
breeze 11431754-n:6
breve 06822831-n:0
briar 02897572-n:0
briar_pipe 02897572-n:0
briard 02105251-n:0
briarwood 12228045-n:0
bribery 00776262-n:0
brickellia 11942144-n:0
brickkiln 02898093-n:0
bricklaying 00607458-n:2
bricks_and_mortar 14785065-n:0
bridge 01296324-v:1
bridle 01300655-v:0
brier-wood 12228045-n:0
brierwood 12228045-n:0
brigand 09837088-n:0
brine 15008847-n:0
bring 01629589-v:31 01618547-v:3
bring_about 01752884-v:0
bring_down 01981036-v:0
bring_forth 01627355-v:2 01752495-v:1 00054628-v:1
bring_up 01629958-v:3
brinjal 12896000-n:0
brisling 07798985-n:0
bristle_brush 02902687-n:0
britain 08860123-n:2
brittany_spaniel 02101388-n:0
broached 01659762-a:0
broadsheet 07250339-n:0
broadside 07250339-n:1
broadsword 02904640-n:0
brocaded 00057149-a:1
brochure 06413889-n:0
broken_arch 02905152-n:0
bronchial_asthma 14145911-n:0
bronchodilator 02905612-n:0
bronx_cheer 07123870-n:0
bronze 01528644-a:0
bronze_medal 02906254-n:0
broom 02906734-n:3
brownie 07636271-n:0
brunch 07574923-n:0
brushwood 14785197-n:0
brute 00015388-n:0
bryozoan 02313709-n:0
bubbler 02909408-n:0
buckboard 02909706-n:2
bucket 01502441-v:0
buckskin 14760555-n:0
buckthorn_family 13140699-n:0
budgereegah 01821869-n:0
budgerigar 01821869-n:0
budgerygah 01821869-n:0
budget 00724029-v:2
budgie 01821869-n:0
buffet 04247736-n:0
bug 02236896-n:0
bugger_off 02010864-v:0
bugle 02913035-n:0
bugloss 12817694-n:0
build 01654628-v:123 01655505-v:4
built_in_bed 02831724-n:0
bulb 13134059-n:2 03665924-n:2 02915480-n:1
bulgur_pilaf 07873679-n:0
bull 06726761-n:0
bull_session 07142924-n:0
bullet_fingerprinting 06423994-n:0
bullet_hole 09229941-n:1
bullfight 02917163-n:0
bullrush 12155773-n:0
bullyboy 09879616-n:1
bulrush 12155773-n:0
bump_off 02482425-v:2
bumper_guard 02919148-n:0
bung 02919648-n:0 01345769-v:0
bunghole 02919976-n:0
bunk 02831724-n:4
bunsen 02921029-n:0
bunsen_burner 02921029-n:0
buoy 07266178-n:0
burial_vault 04523690-n:0
burka 02922578-n:0
burl 13166191-n:0 04948905-n:0
burlesque 06780309-n:0
burn 01756277-v:0
burn_bag 02922877-n:0
burner 02923331-n:0
burqa 02922578-n:0
burr_drill 03176238-n:0
burrow 09230041-n:4
burst 00309310-v:11 00306017-v:7
bury 01234625-v:3 01530098-v:1
bus 02924713-n:0
busbar 02924713-n:0
bush 13112664-n:5
bush_willow 12324558-n:0
business_lunch 07575226-n:0
busker 09883174-n:0
bust 01573515-v:0
bustier 02926426-n:0
butler 09884509-n:1
butt 02928413-n:0 02927608-n:0 01498713-v:1
